0,1,2,3
99,99,100.0,100.0
99,100,100.0,101.0
100,100,101.0,101.0
99,100,100.0,101.0
99,99,100.0,100.0
99,98,100.0,99.0
99,101,100.0,102.0
101,100,102.0,101.0
102,100,103.0,101.0
99,97,100.0,98.0
103,100,104.0,101.0
101,100,102.0,101.0
98,99,99.0,100.0
99,99,100.0,100.0
101,100,102.0,101.0
99,101,100.0,102.0
100,99,101.0,100.0
100,101,101.0,102.0
102,99,103.0,100.0
102,98,103.0,99.0
99,98,100.0,99.0
99,100,100.0,101.0
101,99,102.0,100.0
98,99,99.0,100.0
100,101,101.0,102.0
103,101,104.0,102.0
101,100,102.0,101.0
99,97,100.0,98.0
103,102,104.0,103.0
99,97,100.0,98.0
100,99,101.0,100.0
102,102,103.0,103.0
101,100,102.0,101.0
102,103,103.0,104.0
100,98,101.0,99.0
104,102,105.0,103.0
99,101,100.0,102.0
99,99,100.0,100.0
104,103,105.0,104.0
103,103,104.0,104.0
99,97,100.0,98.0
99,101,100.0,102.0
104,103,105.0,104.0
103,103,104.0,104.0
102,99,103.0,100.0
98,97,99.0,98.0
98,96,99.0,97.0
103,99,104.0,100.0
104,101,105.0,102.0
102,104,103.0,105.0
