0,1,2,3
99,99,100.0,100.0
98,99,99.0,100.0
98,99,99.0,100.0
99,98,100.0,99.0
99,97,100.0,98.0
99,98,100.0,99.0
99,98,100.0,99.0
99,99,100.0,100.0
99,100,100.0,101.0
98,97,99.0,98.0
99,98,100.0,99.0
98,96,99.0,97.0
99,101,100.0,102.0
99,98,100.0,99.0
100,100,101.0,101.0
100,98,101.0,99.0
98,98,99.0,99.0
98,95,99.0,96.0
98,97,99.0,98.0
98,94,99.0,95.0
98,95,99.0,96.0
101,100,102.0,101.0
99,94,100.0,95.0
98,97,99.0,98.0
102,100,103.0,101.0
98,101,99.0,102.0
101,99,102.0,100.0
98,102,99.0,103.0
102,101,103.0,102.0
97,96,98.0,97.0
97,99,98.0,100.0
98,100,99.0,101.0
99,93,100.0,94.0
99,93,100.0,94.0
100,101,101.0,102.0
99,102,100.0,103.0
99,101,100.0,102.0
97,94,98.0,95.0
99,103,100.0,104.0
100,102,101.0,103.0
99,100,100.0,101.0
97,96,98.0,97.0
102,102,103.0,103.0
100,98,101.0,99.0
99,97,100.0,98.0
101,100,102.0,101.0
99,100,100.0,101.0
98,103,99.0,104.0
97,96,98.0,97.0
97,94,98.0,95.0
