0,1,2,3
99,99,100.0,100.0
99,98,100.0,99.0
99,97,100.0,98.0
100,97,101.0,98.0
98,97,99.0,98.0
100,98,101.0,99.0
101,97,102.0,98.0
101,97,102.0,98.0
102,97,103.0,98.0
100,96,101.0,97.0
98,98,99.0,99.0
101,98,102.0,99.0
100,95,101.0,96.0
103,97,104.0,98.0
102,98,103.0,99.0
100,96,101.0,97.0
98,99,99.0,100.0
101,97,102.0,98.0
100,94,101.0,95.0
98,97,99.0,98.0
99,97,100.0,98.0
99,96,100.0,97.0
100,93,101.0,94.0
100,98,101.0,99.0
100,95,101.0,96.0
97,98,98.0,99.0
101,95,102.0,96.0
97,99,98.0,100.0
97,99,98.0,100.0
99,99,100.0,100.0
97,99,98.0,100.0
99,99,100.0,100.0
97,99,98.0,100.0
99,95,100.0,96.0
100,92,101.0,93.0
101,99,102.0,100.0
101,92,102.0,93.0
99,95,100.0,96.0
102,99,103.0,100.0
101,96,102.0,97.0
99,97,100.0,98.0
96,99,97.0,100.0
99,95,100.0,96.0
101,92,102.0,93.0
99,99,100.0,100.0
102,95,103.0,96.0
100,93,101.0,94.0
96,98,97.0,99.0
102,92,103.0,93.0
97,99,98.0,100.0
