0,1,2,3
99,99,100.0,100.0
99,98,100.0,99.0
100,99,101.0,100.0
100,98,101.0,99.0
100,97,101.0,98.0
100,97,101.0,98.0
100,99,101.0,100.0
99,98,100.0,99.0
100,96,101.0,97.0
99,96,100.0,97.0
100,98,101.0,99.0
100,98,101.0,99.0
98,98,99.0,99.0
100,100,101.0,101.0
100,97,101.0,98.0
99,98,100.0,99.0
99,95,100.0,96.0
99,96,100.0,97.0
99,98,100.0,99.0
97,98,98.0,99.0
100,95,101.0,96.0
101,99,102.0,100.0
97,97,98.0,98.0
99,96,100.0,97.0
101,99,102.0,100.0
97,96,98.0,97.0
100,101,101.0,102.0
97,99,98.0,100.0
99,96,100.0,97.0
98,95,99.0,96.0
98,98,99.0,99.0
101,95,102.0,96.0
98,95,99.0,96.0
101,98,102.0,99.0
99,99,100.0,100.0
97,98,98.0,99.0
100,94,101.0,95.0
99,100,100.0,101.0
97,98,98.0,99.0
98,97,99.0,98.0
99,98,100.0,99.0
101,99,102.0,100.0
100,96,101.0,97.0
99,96,100.0,97.0
100,101,101.0,102.0
100,93,101.0,94.0
101,95,102.0,96.0
100,98,101.0,99.0
98,95,99.0,96.0
101,98,102.0,99.0
