0,1,2,3
99,99,100.0,100.0
100,99,101.0,100.0
99,99,100.0,100.0
100,98,101.0,99.0
99,100,100.0,101.0
98,99,99.0,100.0
100,98,101.0,99.0
98,100,99.0,101.0
98,101,99.0,102.0
99,98,100.0,99.0
101,99,102.0,100.0
98,102,99.0,103.0
99,98,100.0,99.0
101,100,102.0,101.0
102,99,103.0,100.0
97,100,98.0,101.0
101,98,102.0,99.0
102,99,103.0,100.0
98,100,99.0,101.0
97,102,98.0,103.0
98,99,99.0,100.0
100,97,101.0,98.0
100,96,101.0,97.0
98,98,99.0,99.0
100,97,101.0,98.0
99,101,100.0,102.0
102,99,103.0,100.0
101,98,102.0,99.0
97,98,98.0,99.0
97,102,98.0,103.0
96,102,97.0,103.0
98,102,99.0,103.0
101,100,102.0,101.0
96,103,97.0,104.0
99,97,100.0,98.0
95,103,96.0,104.0
102,99,103.0,100.0
94,103,95.0,104.0
95,104,96.0,105.0
100,101,101.0,102.0
97,98,98.0,99.0
95,105,96.0,106.0
96,105,97.0,106.0
101,98,102.0,99.0
97,100,98.0,101.0
96,105,97.0,106.0
99,102,100.0,103.0
98,101,99.0,102.0
97,100,98.0,101.0
101,97,102.0,98.0
