0,1,2,3
99,99,100.0,100.0
99,99,100.0,100.0
99,100,100.0,101.0
98,99,99.0,100.0
99,101,100.0,102.0
100,99,101.0,100.0
100,98,101.0,99.0
98,100,99.0,101.0
99,101,100.0,102.0
101,98,102.0,99.0
98,101,99.0,102.0
98,100,99.0,101.0
101,97,102.0,98.0
102,97,103.0,98.0
97,101,98.0,102.0
97,102,98.0,103.0
103,97,104.0,98.0
103,96,104.0,97.0
99,100,100.0,101.0
99,101,100.0,102.0
99,101,100.0,102.0
97,100,98.0,101.0
101,98,102.0,99.0
99,100,100.0,101.0
97,103,98.0,104.0
102,97,103.0,98.0
101,97,102.0,98.0
101,97,102.0,98.0
97,102,98.0,103.0
99,101,100.0,102.0
98,101,99.0,102.0
104,96,105.0,97.0
99,101,100.0,102.0
103,96,104.0,97.0
99,99,100.0,100.0
105,96,106.0,97.0
106,96,107.0,97.0
105,96,106.0,97.0
97,103,98.0,104.0
96,101,97.0,102.0
96,100,97.0,101.0
97,103,98.0,104.0
103,97,104.0,98.0
99,99,100.0,100.0
104,97,105.0,98.0
96,99,97.0,100.0
97,101,98.0,102.0
105,96,106.0,97.0
97,104,98.0,105.0
101,97,102.0,98.0
