0,1,2,3
99,99,100.0,100.0
100,99,101.0,100.0
100,99,101.0,100.0
100,99,101.0,100.0
98,99,99.0,100.0
99,99,100.0,100.0
100,100,101.0,101.0
100,98,101.0,99.0
101,98,102.0,99.0
101,100,102.0,101.0
100,101,101.0,102.0
97,99,98.0,100.0
99,99,100.0,100.0
101,100,102.0,101.0
102,100,103.0,101.0
100,102,101.0,103.0
101,98,102.0,99.0
103,100,104.0,101.0
103,101,104.0,102.0
97,100,98.0,101.0
100,97,101.0,98.0
99,99,100.0,100.0
97,101,98.0,102.0
103,100,104.0,101.0
103,99,104.0,100.0
103,101,104.0,102.0
103,100,104.0,101.0
98,101,99.0,102.0
97,98,98.0,99.0
104,99,105.0,100.0
99,98,100.0,99.0
96,98,97.0,99.0
98,101,99.0,102.0
101,101,102.0,102.0
96,99,97.0,100.0
95,99,96.0,100.0
104,99,105.0,100.0
100,100,101.0,101.0
95,99,96.0,100.0
104,98,105.0,99.0
101,100,102.0,101.0
99,100,100.0,101.0
98,98,99.0,99.0
103,100,104.0,101.0
98,101,99.0,102.0
104,97,105.0,98.0
97,100,98.0,101.0
99,98,100.0,99.0
96,97,97.0,98.0
101,100,102.0,101.0
